Model,Accuracy,Precision,Recall,F1-Score,Confusion Matrix
decision_tree,0.8834725866735527,0.9581429411630145,0.8834725866735527,0.9070343335653133,"[[397113  42183]
 [ 10254    464]]"
k-nn,0.9988667002147223,0.999244105131657,0.9988667002147223,0.999023729011308,"[[438875    421]
 [    89  10629]]"
random_forest,0.9983800725627573,0.9992516613476273,0.9983800725627573,0.9987321950024489,"[[438570    726]
 [     3  10715]]"
logistic_regression,0.9937000219928004,0.9945581138036721,0.9937000219928004,0.9935990608098858,"[[438876    420]
 [  2415   8303]]"
naive_bayes,0.9761822710144615,0.9567479130945598,0.9761822710144615,0.9654898878823666,"[[439296      0]
 [ 10718      0]]"
svm_linear,0.9968111133698903,0.9987020566251634,0.9968111133698903,0.9975332333129234,"[[438242   1054]
 [   381  10337]]"
xgboost,0.995782253504172,0.9961643499645417,0.995782253504172,0.9955862489660107,"[[439139    157]
 [  1741   8977]]"
