Model,Accuracy,Precision,Recall,F1-Score,Confusion Matrix
decision_tree,0.9479397139889804,0.9537171087611689,0.9479397139889804,0.924362422218169,"[[473749     16]
 [ 26014    217]]"
k-nn,0.9981119902397456,0.9980853816546136,0.9981119902397456,0.9980801403636332,"[[473305    460]
 [   484  25747]]"
random_forest,0.9621454493026322,0.9891162132467237,0.9621454493026322,0.9734498837750317,"[[454918  18847]
 [    80  26151]]"
logistic_regression,0.990801979239324,0.9911460277011972,0.990801979239324,0.990230685468773,"[[473758      7]
 [  4592  21639]]"
naive_bayes,0.9475277128289493,0.9026001434109737,0.9475277128289493,0.9233656713500734,"[[473760      5]
 [ 26231      0]]"
svm_linear,0.9705379105966646,0.9752485157634021,0.9705379105966646,0.9604747137532501,"[[473728     37]
 [ 14694  11537]]"
xgboost,0.9986999955999121,0.9986576573441628,0.9986999955999121,0.9986048462433658,"[[473691     74]
 [   576  25655]]"
