Model,Accuracy,Precision,Recall,F1-Score,Confusion Matrix
decision_tree,0.8892086119498069,0.8860461823360041,0.8892086119498069,0.843757302871629,"[[400058     35]
 [ 49821     83]]"
k-nn,0.9978177734220766,0.9978802099357268,0.9978177734220766,0.9977988239804824,"[[399701    392]
 [   590  49314]]"
random_forest,0.9617262873214334,0.9869879767798145,0.9617262873214334,0.9722056006354372,"[[383277  16816]
 [   407  49497]]"
logistic_regression,0.9734865756424872,0.9758395042326318,0.9734865756424872,0.971511623889773,"[[400073     20]
 [ 11911  37993]]"
naive_bayes,0.817946389727592,0.7387014977895547,0.817946389727592,0.7673206138134242,"[[359083  41010]
 [ 40914   8990]]"
svm_linear,0.9724355098656123,0.956197398258364,0.9724355098656123,0.9632036860594183,"[[399956    137]
 [ 12267  37637]]"
xgboost,0.9991088822219643,0.9991100942162606,0.9991088822219643,0.9990071761633342,"[[400031     62]
 [   339  49565]]"
